[2026-01-08 18:10:00] Client: [::1]:52174 | Host: httpbin.org | Method: GET | Status: OK | Details: /get
[2026-01-08 18:10:01] Client: [::1]:52182 | Host: httpbin.org | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:10:03] Client: [::1]:52198 | Host: example.com | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:10:03] Client: [::1]:52208 | Host: example.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:10:03] Client: [::1]:52218 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:10:40] Client: [::1]:39014 | Host: httpbin.org | Method: GET | Status: OK | Details: /get
[2026-01-08 18:10:41] Client: [::1]:39024 | Host: httpbin.org | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:10:42] Client: [::1]:39036 | Host: example.com | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:12:20] Client: [::1]:40926 | Host: httpbin.org | Method: GET | Status: OK | Details: /get
[2026-01-08 18:12:21] Client: [::1]:40934 | Host: httpbin.org | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:12:22] Client: [::1]:40940 | Host: example.com | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:12:22] Client: [::1]:40946 | Host: example.com | Method: CONNECT | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:12:22] Client: [::1]:40960 | Host: badsite.org | Method: GET | Status: BLOCKED | Details: Domain is blocked
[2026-01-08 18:24:53] Client: [::1]:38908 | Host: chat.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:24:53] Client: [::1]:38916 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:24:56] Client: [::1]:38918 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:04] Client: [::1]:36376 | Host: play.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:16] Client: [::1]:46768 | Host: ssl.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:17] Client: [::1]:46770 | Host: docs.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:21] Client: [::1]:46776 | Host: alive.github.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:41] Client: [::1]:37398 | Host: chatgpt.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:41] Client: [::1]:37430 | Host: nleditor.osi.office.net | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:41] Client: [::1]:37414 | Host: turing-writingassistance.edge.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:25:43] Client: [::1]:37432 | Host: self.events.data.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:02] Client: [::1]:40068 | Host: signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:03] Client: [::1]:40076 | Host: signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:03] Client: [::1]:40074 | Host: ab.chatgpt.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:03] Client: [::1]:40080 | Host: ssl.gstatic.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:14] Client: [::1]:48616 | Host: client.wns.windows.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:39] Client: [::1]:42688 | Host: browser.events.data.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:42] Client: [::1]:42700 | Host: edge.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:54] Client: [::1]:52902 | Host: addons-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:54] Client: [::1]:52896 | Host: waa-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:26:54] Client: [::1]:52908 | Host: addons-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:08] Client: [::1]:34074 | Host: 7-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:08] Client: [::1]:34080 | Host: 7-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:10] Client: [::1]:34090 | Host: easylist-downloads.adblockplus.org | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:15] Client: [::1]:34106 | Host: flipshope.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:15] Client: [::1]:34122 | Host: data.flipshope.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:27] Client: [::1]:40194 | Host: browser.events.data.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:34] Client: [::1]:40236 | Host: browser.events.data.microsoft.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:34] Client: [::1]:40252 | Host: 7-prod-dynamite-prod-02-us-signaler-pa.clients6.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
[2026-01-08 18:27:34] Client: [::1]:40262 | Host: chat.google.com | Method: CONNECT | Status: OK | Details: Tunnel established
